time |	latitude |	longitude |	depth |	mag |	magType
1981-08-07T11:35:21.560Z	-5.186	151.674	65.8	5.9	mb
1981-08-17T02:17:41.520Z	-2.751	139.157	33.5	5.8	ms
1981-08-19T22:50:49.510Z	-9.248	67.181	10	5.8	ms
1981-08-23T01:59:50.110Z	-22.069	170.955	100	5.8	mb
1981-08-23T12:00:26.550Z	48.718	157.39	40	6	mb
1981-08-25T07:16:58.400Z	-22.894	-175.854	33	5.9	mb
1981-09-01T07:23:02.180Z	-15.139	-173.288	33	5.8	mb
1981-09-01T09:29:31.540Z	-14.96	-173.085	25	7.7	ms
1981-09-03T04:29:52.950Z	6.49	126.198	93	5.8	mb
1981-09-03T05:35:44.800Z	43.621	147.031	45	6.6	ms
1981-09-04T11:14:15.000Z	11.05	123.21	33	6.6	mwc
1981-09-04T11:15:13.610Z	9.964	124.035	644.5	6	mb
1981-09-06T11:02:40.870Z	-21.488	169.6	31	6.2	ms
1981-09-07T19:06:02.750Z	30.649	141.551	33	5.8	mb
1981-09-12T07:15:54.170Z	35.693	73.594	33	6.2	mb
1981-09-13T02:17:18.250Z	49.897	78.983	0	6	mb
1981-09-13T09:19:30.900Z	24.866	-46.301	10	5.8	mb
1981-09-14T12:44:29.800Z	18.32	-68.891	170	5.9	mb
1981-09-15T14:12:06.050Z	-6.35	130.683	102.2	5.9	mb
1981-09-17T06:19:08.840Z	-6.489	127.927	33	5.8	ms
1981-09-17T08:23:24.640Z	-22.518	170.506	30	6.6	ms
1981-09-21T14:24:42.990Z	-22.185	170.491	33	6	ms
1981-09-25T14:30:53.400Z	-29.972	-178.012	45	5.9	ms
1981-09-25T15:01:22.010Z	38.499	143.158	25.3	6.1	ms
1981-09-28T17:56:18.090Z	-29.335	-179.039	323	6	mb
1981-09-30T11:53:26.190Z	37.5838333	-118.8645	3.126	5.9	ml
1981-09-30T23:03:47.540Z	-4.798	-112.008	10	5.9	mb
1981-10-01T12:14:56.780Z	73.317	54.812	0	5.9	mb
1981-10-01T17:04:44.920Z	50.733	160.429	33	5.9	mb
1981-10-04T00:01:32.790Z	-4.57	146.123	33	6.3	ms
1981-10-07T03:02:13.460Z	-20.752	-178.632	619.9	5.8	mb
1981-10-07T08:32:55.110Z	-6.402	154.899	41	5.8	mb
1981-10-07T13:19:20.140Z	-11.443	66.277	10	6	mb
1981-10-09T12:19:40.230Z	-9.979	162.046	50.2	6.4	ms
1981-10-15T01:47:52.970Z	40.229	142.287	47	6	mb
1981-10-16T03:25:42.220Z	-33.134	-73.074	33	7.2	ms
1981-10-17T06:44:55.150Z	-7.101	128.974	179	6.1	mb
1981-10-17T12:08:26.320Z	-3.199	142.255	26	5.9	mb
1981-10-17T14:35:40.850Z	-45.509	-15.18	10	6	ms
1981-10-17T20:04:15.420Z	4.596	122.662	624.6	5.8	mb
1981-10-18T03:57:02.620Z	49.886	78.898	0	6	mb
1981-10-25T03:22:15.570Z	18.048	-102.084	33	7.3	ms
1981-10-28T04:34:17.780Z	-31.272	-110.649	10	6.2	ms
1981-11-03T13:47:34.130Z	43.542	-127.706	10	6.2	ms
1981-11-04T14:38:10.730Z	-20.046	-174.276	33	6.3	mb
1981-11-05T07:23:22.690Z	-21.549	170.147	33	5.8	mb
1981-11-06T16:47:49.100Z	-3.558	143.79	33	6.9	ms
1981-11-07T03:29:51.090Z	-32.199	-71.336	65.2	6.8	ms
1981-11-07T09:42:55.430Z	-17.088	66.691	10	6	ms
1981-11-08T13:41:20.040Z	-6.169	112.154	633	5.8	mb
1981-11-15T20:18:17.540Z	-65.635	179.899	10	6	ms
1981-11-16T13:53:18.800Z	-22.141	169.503	33	6.2	ms
1981-11-16T19:42:38.230Z	-33.886	-179.695	33	5.9	ms
1981-11-18T09:17:30.460Z	-2.282	22.813	7	5.8	mb
1981-11-18T17:37:48.710Z	-29.516	-177.228	33	6	ms
1981-11-22T15:05:20.560Z	18.752	120.839	24	6.5	ms
1981-11-23T10:17:22.960Z	43.001	146.179	39	5.9	mb
1981-11-24T23:30:32.630Z	-22.504	170.635	29.8	6.7	ms
1981-11-24T23:49:54.500Z	-22.372	170.558	33	6.2	ms
1981-11-25T19:01:47.910Z	-15.246	-173.308	33	5.8	ms
1981-11-25T23:51:16.560Z	-20.943	-178.863	614	5.9	mb
1981-11-27T17:21:45.800Z	42.913	131.076	543	5.8	mb
1981-12-02T06:24:42.870Z	40.907	142.515	59.4	5.9	mb
1981-12-06T12:50:48.940Z	-6.171	152.045	33	6.1	ms
1981-12-12T04:52:37.160Z	23.932	125.856	10	6.3	ms
1981-12-13T01:39:14.390Z	-6.387	154.929	50	5.9	mb
1981-12-14T12:05:54.220Z	-56.363	-26.481	104	5.8	mb
1981-12-19T14:10:50.720Z	39.243	25.227	10	7.2	ms
1981-12-24T05:33:20.710Z	-29.97	-177.61	28	6.8	ms
1981-12-26T17:05:32.520Z	-29.934	-177.741	33	7.1	ms
1981-12-27T03:43:14.140Z	49.909	78.873	0	6.2	mb
1981-12-27T10:30:44.490Z	-2.121	139.801	33	5.9	ms
1981-12-27T17:39:13.630Z	38.938	24.905	13.3	6.5	ms
1982-01-01T18:51:01.560Z	26.823	142.557	22.2	6.7	ms
1982-01-03T14:09:50.450Z	-0.972	-21.87	10	6.5	ms
1982-01-04T06:05:01.330Z	18.014	145.626	590.2	6.1	mb
1982-01-04T06:08:59.330Z	17.87	145.455	518.9	5.8	mb
1982-01-04T22:20:53.600Z	-23.165	-177.312	195	6	mb
1982-01-07T08:03:44.640Z	-12.07	166.707	156	5.8	mb
1982-01-07T08:42:50.750Z	-3.387	177.569	33	5.8	mb
1982-01-11T06:10:06.490Z	13.752	124.358	45.7	7.1	ms
1982-01-11T06:49:18.940Z	13.945	124.407	33	5.9	mb
1982-01-12T01:44:47.950Z	-52.478	27.988	10	5.8	mb
1982-01-12T05:48:17.630Z	13.158	-87.589	6.4	6	ms
1982-01-13T00:06:43.270Z	-9.55	152.161	33	6	ms
1982-01-14T09:53:45.400Z	-9.523	151.949	33	5.9	ms
1982-01-15T13:48:21.830Z	-9.513	152.146	33	6	ms
