time |	latitude |	longitude |	depth |	mag |	magType
1991-05-03T02:14:14.430Z	28.08	139.585	433.1	6.7	mw
1991-05-04T03:42:54.530Z	9.542	-82.418	10	6.2	mw
1991-05-07T13:09:28.750Z	39.43	144.714	10	6.1	mw
1991-05-10T13:33:52.320Z	-16.114	-174.147	115.2	6.3	mw
1991-05-13T16:28:15.440Z	-3.463	82.824	21.8	6	mw
1991-05-17T02:31:25.700Z	-4.39	142.715	59	6.4	mw
1991-05-19T00:58:01.730Z	1.156	122.957	33	7	mw
1991-05-21T11:00:19.080Z	-7.517	126.539	18.4	6.6	mw
1991-05-24T20:50:55.840Z	-16.506	-70.701	127.7	6.8	mw
1991-05-30T13:17:41.970Z	54.567	-161.606	28.4	7	mw
1991-06-07T11:51:25.970Z	-7.204	122.533	536.4	6.9	mw
1991-06-09T07:45:02.130Z	-20.252	-176.218	265.5	7	mw
1991-06-10T17:35:49.480Z	23.771	-45.368	9.7	6.4	mw
1991-06-15T00:59:20.310Z	42.461	44.009	9.4	6.3	mw
1991-06-15T01:13:21.460Z	-58.285	-24.183	51.7	6.6	mw
1991-06-15T23:02:14.370Z	10.098	125.855	71	6.1	mw
1991-06-20T05:18:52.510Z	1.196	122.787	31.4	7.5	mw
1991-06-22T00:30:26.480Z	23.915	-108.549	10	6.2	mw
1991-06-23T21:22:28.940Z	-26.802	-63.349	558	7.3	mw
1991-07-01T13:32:41.600Z	-15.797	-75.016	21.4	6	mw
1991-07-02T05:14:30.190Z	-1.068	99.843	53.8	6.4	mwb
1991-07-04T11:43:10.490Z	-8.099	124.681	28.8	6.9	mwb
1991-07-05T04:30:52.550Z	-9.585	114.673	53.7	6.1	mw
1991-07-06T12:19:49.560Z	-13.108	-72.187	104.5	7	mwb
1991-07-13T02:50:14.690Z	42.182	-125.641	11	6.9	mw
1991-07-13T12:15:13.320Z	48.738	154.933	40.5	6.2	mw
1991-07-14T09:09:11.910Z	36.334	71.119	212.9	6.7	mw
1991-08-05T06:05:47.280Z	-21.363	-174.396	30.9	6	mw
1991-08-06T14:49:30.570Z	35.725	141.044	28.5	6	mwb
1991-08-08T02:09:44.710Z	0.972	122.631	12.4	6.7	mwb
1991-08-14T12:53:26.020Z	54.389	-169.296	274.8	6	mw
1991-08-14T19:15:03.670Z	-13.593	167.607	13.8	6.5	mw
